Order_Ids,Order_Title,Order_Source,Order_Status,price,Date,Order_Type
OD329325055389892300,Mobile Prepaid Recharge,https://www.flipkart.com/order_details?order_id=OD329325055389892300&item_id=329325055389892300&unit_id=329325055389892300000,Failed,149,,Mobile Recharge
OD329298846222439100,THE WOOD WHITE INDIA Soft 2. 16 x 24 Inc...,https://www.flipkart.com/order_details?order_id=OD329298846222439100&item_id=329298846222439100&unit_id=329298846222439100000,Delivered,395,Oct 05,Shopping
OD329281807056729300,Mobile Prepaid Recharge,https://www.flipkart.com/order_details?order_id=OD329281807056729300&item_id=329281807056729300&unit_id=329281807056729300000,Delivered,99,Sep 29,Mobile Recharge
OD329281798812030300,Mobile Prepaid Recharge,https://www.flipkart.com/order_details?order_id=OD329281798812030300&item_id=329281798812030300&unit_id=329281798812030300000,Failed,99,,Mobile Recharge
OD329211853188534300,Mobile Prepaid Recharge,https://www.flipkart.com/order_details?order_id=OD329211853188534300&item_id=329211853188534300&unit_id=329211853188534300000,Failed,155,,Mobile Recharge
OD329208926110366300,Mobile Prepaid Recharge,https://www.flipkart.com/order_details?order_id=OD329208926110366300&item_id=329208926110366300&unit_id=329208926110366300000,Failed,15,,Mobile Recharge
OD329143879061512100,boAt Rockerz 333 Upto 30 Hours Battery B...,https://www.flipkart.com/order_details?order_id=OD329143879061512100&item_id=329143879061512100&unit_id=329143879061512100000,Delivered,1599,Sep 14,Shopping
OD329121785871884100,USHA EI 2802 LT 1000 W Dry Iron,https://www.flipkart.com/order_details?order_id=OD329121785871884100&item_id=329121785871884101&unit_id=329121785871884101000,Refunded,499,,Shopping
OD329100573668088100,STORITE Large Gaming Mouse Pad 60x30x2 c...,https://www.flipkart.com/order_details?order_id=OD329100573668088100&item_id=329100573668088100&unit_id=329100573668088100000,Delivered,199,Sep 12,Shopping
OD329094979386109100,STORITE Multi-Function 5-in-1 Cleaning T...,https://www.flipkart.com/order_details?order_id=OD329094979386109100&item_id=329094979386109100&unit_id=329094979386109100000,Delivered,149,Sep 12,Shopping
OD328952734694021100,Thecrazymonk Graphic Print Men Round Nec...,https://www.flipkart.com/order_details?order_id=OD328952734694021100&item_id=328952734694021100&unit_id=328952734694021100000,Refunded,699,,Shopping
,,,Delivered,501,Aug 18,Shopping
,,,Delivered,317,Jul 30,Shopping
OD328670352262722100,Sansu Olive Cider Vinegar Premium (Jaitu...,https://www.flipkart.com/order_details?order_id=OD328670352262722100&item_id=328670352262722100&unit_id=328670352262722100000,Delivered,349,Jul 24,Shopping
OD328662721842005100,Sansu Olive Cider Vinegar Premium (Jaitu...,https://www.flipkart.com/order_details?order_id=OD328662721842005100&item_id=328662721842005100&unit_id=328662721842005100000,Cancelled,354,,Shopping
OD328192941775325100,"alt Spunk Pro, 1.45"" AMOLED, Single Chip...",https://www.flipkart.com/order_details?order_id=OD328192941775325100&item_id=328192941775325100&unit_id=328192941775325100000,Delivered,1999,May 28,Shopping
OD328161779560897100,FASHION DEPTH Women Embroidered Straight...,https://www.flipkart.com/order_details?order_id=OD328161779560897100&item_id=328161779560897100&unit_id=328161779560897100000,Delivered,599,May 26,Shopping
OD328161682585835100,Vbuyz Women Printed Straight Kurta,https://www.flipkart.com/order_details?order_id=OD328161682585835100&item_id=328161682585835100&unit_id=328161682585835100000,Delivered,682,May 27,Shopping
OD328083566574607100,DHARITRI SAREE Self Design Kanjivaram Pu...,https://www.flipkart.com/order_details?order_id=OD328083566574607100&item_id=328083566574607100&unit_id=328083566574607100000,Refunded,870,,Shopping
OD328002874306343100,SAMSUNG Evo Plus 64 GB MicroSDXC Class 1...,https://www.flipkart.com/order_details?order_id=OD328002874306343100&item_id=328002874306343100&unit_id=328002874306343100000,Replacement,499,,Shopping
OD327851541859461100,HAPDCO Pack of 2 Aqui Plus Cream+1 Aqui ...,https://www.flipkart.com/order_details?order_id=OD327851541859461100&item_id=327851541859461100&unit_id=327851541859461100000,Delivered,280,Apr 21,Shopping
OD327851206468563100,RED TAPE Sneakers For Men,https://www.flipkart.com/order_details?order_id=OD327851206468563100&item_id=327851206468563100&unit_id=327851206468563100000,Delivered,1169,Apr 20,Shopping
OD327795392695113100,YONEX GR 303 F Multicolor Strung Badmint...,https://www.flipkart.com/order_details?order_id=OD327795392695113100&item_id=327795392695113100&unit_id=327795392695113100000,Delivered,499,Apr 15,Shopping
OD327788654157330100,RED TAPE Sneakers For Women,https://www.flipkart.com/order_details?order_id=OD327788654157330100&item_id=327788654157330100&unit_id=327788654157330100000,Refunded,959,,Shopping
OD327755294072150100,"PURVAJA Women Empire Waist Green, White,...",https://www.flipkart.com/order_details?order_id=OD327755294072150100&item_id=327755294072150100&unit_id=327755294072150100000,Refunded,370,,Shopping
OD327700344468962100,Mi XXQ02HM Trimmer 60 min  Runtime 20 Le...,https://www.flipkart.com/order_details?order_id=OD327700344468962100&item_id=327700344468962100&unit_id=327700344468962100000,Cancelled,984,,Shopping
OD327649142708455100,Refollium Biotin 10000 mcg Maximum Stren...,https://www.flipkart.com/order_details?order_id=OD327649142708455100&item_id=327649142708455100&unit_id=327649142708455100000,Delivered,194,Mar 27,Shopping
OD327522668549626100,limraz furniture L 56 Engineered Wood St...,https://www.flipkart.com/order_details?order_id=OD327522668549626100&item_id=327522668549626100&unit_id=327522668549626100000,Refunded,1499,,Shopping
OD327520171565401100,CATIVE Engineered Wood Office Table,https://www.flipkart.com/order_details?order_id=OD327520171565401100&item_id=327520171565401100&unit_id=327520171565401100000,Refunded,2564,,Shopping
OD327520147756144100,CATIVE Engineered Wood Office Table,https://www.flipkart.com/order_details?order_id=OD327520147756144100&item_id=327520147756144100&unit_id=327520147756144100000,Refunded,2564,,Shopping
OD327513390223852100,Pigeon Croma Galaxy 800 ml 24 Hrs Hot & ...,https://www.flipkart.com/order_details?order_id=OD327513390223852100&item_id=327513390223852100&unit_id=327513390223852100000,Delivered,659,Mar 10,Shopping
OD327495204058441100,OXGENTA Pure Cotton Embellished Women Du...,https://www.flipkart.com/order_details?order_id=OD327495204058441100&item_id=327495204058441100&unit_id=327495204058441100000,Delivered,212,Mar 11,Shopping
OD327486456726942100,Pigeon Croma Galaxy 800 ml 24 Hrs Hot & ...,https://www.flipkart.com/order_details?order_id=OD327486456726942100&item_id=327486456726942100&unit_id=327486456726942100000,Refunded,619,,Shopping
OD327211563667724100,Cosmic Byte CB-GK-22 Veritas TKL RGB Son...,https://www.flipkart.com/order_details?order_id=OD327211563667724100&item_id=327211563667724100&unit_id=327211563667724100000,Delivered,1249,Feb 03,Shopping
OD327072475974765100,aqui plus Cream Best Cream with facewash...,https://www.flipkart.com/order_details?order_id=OD327072475974765100&item_id=327072475974765100&unit_id=327072475974765100000,Delivered,249,Jan 19,Shopping
OD327064714277020100,"Leelavati Woven Kanjivaram Pure Silk, Ar...",https://www.flipkart.com/order_details?order_id=OD327064714277020100&item_id=327064714277020100&unit_id=327064714277020100000,Delivered,569,Jan 21,Shopping
OD327037120455943100,aqui plus Cream Best Cream with facewash...,https://www.flipkart.com/order_details?order_id=OD327037120455943100&item_id=327037120455943100&unit_id=327037120455943100000,Refunded,249,,Shopping
OD327000988419565100,Flipkart SmartBuy E160X Wireless Optical...,https://www.flipkart.com/order_details?order_id=OD327000988419565100&item_id=327000988419565100&unit_id=327000988419565100000,Delivered,499,Jan 09,Shopping
OD326986939079336100,Flipkart SmartBuy E160X Wireless Optical...,https://www.flipkart.com/order_details?order_id=OD326986939079336100&item_id=326986939079336100&unit_id=326986939079336100000,Refunded,499,,Shopping
OD326967925275412100,ZEBRONICS Zeb-Tulip Wired Headset,https://www.flipkart.com/order_details?order_id=OD326967925275412100&item_id=326967925275412100&unit_id=326967925275412100000,Refunded,249,,Shopping
OD326850624605963100,Mast & Harbour Full Sleeve Printed Men S...,https://www.flipkart.com/order_details?order_id=OD326850624605963100&item_id=326850624605963100&unit_id=326850624605963100000,Refunded,812,,Shopping
OD326850592080540100,HIGHLANDER Full Sleeve Printed Men Sweat...,https://www.flipkart.com/order_details?order_id=OD326850592080540100&item_id=326850592080540100&unit_id=326850592080540100000,Refunded,764,,Shopping
OD326841213135625100,GARNIER Bright Complete Vitamin C Booste...,https://www.flipkart.com/order_details?order_id=OD326841213135625100&item_id=326841213135625100&unit_id=326841213135625100000,Delivered,414,"Dec 25, 2022",Shopping
OD326829953573965100,THE MAN COMPANY Brawn Hair Wax - Almond ...,https://www.flipkart.com/order_details?order_id=OD326829953573965100&item_id=326829953573965100&unit_id=326829953573965100000,Delivered,185,"Dec 21, 2022",Shopping
OD326802151098268100,Roadster Full Sleeve Printed Men Sweatsh...,https://www.flipkart.com/order_details?order_id=OD326802151098268100&item_id=326802151098268100&unit_id=326802151098268100000,Refunded,807,,Shopping
OD126520872143263000,Tendula hair massager for men and girl H...,https://www.flipkart.com/order_details?order_id=OD126520872143263000&item_id=12652087214326300&unit_id=12652087214326300000,Refunded,132,,Shopping
OD126517653532126000,HAPDCO AQUI PLUS-PURE HERBAL BALANCE FAC...,https://www.flipkart.com/order_details?order_id=OD126517653532126000&item_id=12651765353212600&unit_id=12651765353212600000,Delivered,269,"Nov 17, 2022",Shopping
OD126371584045462000,Charming treasures Junior-Senior Adjusta...,https://www.flipkart.com/order_details?order_id=OD126371584045462000&item_id=12637158404546200&unit_id=12637158404546200000,Refunded,205,,Shopping
OD126305526376831000,"Noise Buds VS102 with 14 Hours Playtime,...",https://www.flipkart.com/order_details?order_id=OD126305526376831000&item_id=12630552637683100&unit_id=12630552637683100000,Refunded,899,,Shopping
OD126301380007676000,"Noise Buds VS102 with 14 Hours Playtime,...",https://www.flipkart.com/order_details?order_id=OD126301380007676000&item_id=12630138000767600&unit_id=12630138000767600000,Refunded,899,,Shopping
OD126250947657243000,ASIAN & FITCH Men Checkered Casual Grey ...,https://www.flipkart.com/order_details?order_id=OD126250947657243000&item_id=12625094765724300&unit_id=12625094765724300000,Delivered,429,"Oct 19, 2022",Shopping
OD126241667571548000,"HOPPUP SNAP with Gaming Mode, Fast Charg...",https://www.flipkart.com/order_details?order_id=OD126241667571548000&item_id=12624166757154800&unit_id=12624166757154800000,Cancelled,599,,Shopping
OD126236391925069000,"HOPPUP SNAP with Gaming Mode, Fast Charg...",https://www.flipkart.com/order_details?order_id=OD126236391925069000&item_id=12623639192506900&unit_id=12623639192506900000,Refunded,549,,Shopping
OD126180469686830000,Acnos Wood Portable Laptop Table,https://www.flipkart.com/order_details?order_id=OD126180469686830000&item_id=12618046968683000&unit_id=12618046968683000000,Delivered,497,"Oct 11, 2022",Shopping
OD126147011305337000,Acnos Wood Portable Laptop Table,https://www.flipkart.com/order_details?order_id=OD126147011305337000&item_id=12614701130533700&unit_id=12614701130533700000,Refunded,497,,Shopping
OD126122302680788000,KrishaFashion Embroidered Bollywood Silk...,https://www.flipkart.com/order_details?order_id=OD126122302680788000&item_id=12612230268078800&unit_id=12612230268078800000,Refunded,792,,Shopping
OD126121795227951000,KrishaFashion Embroidered Bollywood Silk...,https://www.flipkart.com/order_details?order_id=OD126121795227951000&item_id=12612179522795100&unit_id=12612179522795100000,Refunded,792,,Shopping
OD126076632261047000,Fire-Boltt Hurricane Smartwatch,https://www.flipkart.com/order_details?order_id=OD126076632261047000&item_id=12607663226104700&unit_id=12607663226104700000,Refunded,1799,,Shopping
OD126072810238016000,realme Buds Wireless 2 Neo with Type-C F...,https://www.flipkart.com/order_details?order_id=OD126072810238016000&item_id=12607281023801600&unit_id=12607281023801600000,Delivered,948,"Sep 28, 2022",Shopping
OD126071429665519000,HP Pavilion Ryzen 5 Hexa Core AMD R5-560...,https://www.flipkart.com/order_details?order_id=OD126071429665519000&item_id=12607142966551900&unit_id=12607142966551900000&share_token=SH22092220343492771476.5B6AC959F98F9EB20463AA5384C5B635958A924E,Delivered,49890,"Sep 24, 2022",Shopping
OD126000735304853000,"vikas sales Embroidered, Self Design Sem...",https://www.flipkart.com/order_details?order_id=OD126000735304853000&item_id=12600073530485300&unit_id=12600073530485300000,Refunded,1999,,Shopping
OD125992967119907000,Fabbmate Casuals For Men,https://www.flipkart.com/order_details?order_id=OD125992967119907000&item_id=12599296711990700&unit_id=12599296711990700000,Refunded,198,,Shopping
OD125974940709210000,BLACK SCISSOR Jacquard Floral Print Suit...,https://www.flipkart.com/order_details?order_id=OD125974940709210000&item_id=12597494070921000&unit_id=12597494070921000000,Delivered,664,"Sep 19, 2022",Shopping
OD125961223108244000,iTronix 12 Pieces Mobile Charging Cables...,https://www.flipkart.com/order_details?order_id=OD125961223108244000&item_id=12596122310824400&unit_id=12596122310824400000,Delivered,89,"Sep 12, 2022",Shopping
OD125941338048064000,BLACK SCISSOR Jacquard Floral Print Suit...,https://www.flipkart.com/order_details?order_id=OD125941338048064000&item_id=12594133804806400&unit_id=12594133804806400000,Refunded,699,,Shopping
OD125921580981751000,Classmate Spiral (240 x 180 mm) B5 Noteb...,https://www.flipkart.com/order_details?order_id=OD125921580981751000&item_id=12592158098175100&unit_id=12592158098175100000,Delivered,217,"Sep 10, 2022",Shopping
OD125662045471811000,GARNIER Bright Complete Vitamin C Booste...,https://www.flipkart.com/order_details?order_id=OD125662045471811000&item_id=12566204547181100&unit_id=12566204547181100000,Delivered,350,"Aug 09, 2022",Shopping
OD125654310418283000,DEFY Gravity Turbo with Low Latency for ...,https://www.flipkart.com/order_details?order_id=OD125654310418283000&item_id=12565431041828301&unit_id=12565431041828301000,Cancelled,1099,,Shopping
OD125654285101286000,DEFY Gravity Turbo with Low Latency for ...,https://www.flipkart.com/order_details?order_id=OD125654285101286000&item_id=12565428510128600&unit_id=12565428510128600000,Refunded,1099,,Shopping
OD125620020360481000,jack klein jack klein Mobile Finger Slee...,https://www.flipkart.com/order_details?order_id=OD125620020360481000&item_id=12562002036048100&unit_id=12562002036048100000,Delivered,28,"Aug 05, 2022",Shopping
OD125531585966741000,Boult Audio Loop Wired Headset,https://www.flipkart.com/order_details?order_id=OD125531585966741000&item_id=12553158596674100&unit_id=12553158596674100000,Delivered,349,"Jul 25, 2022",Shopping
OD125528712382014000,boAt Rockerz 255F Pro/ Rockerz 255 Pro B...,https://www.flipkart.com/order_details?order_id=OD125528712382014000&item_id=12552871238201400&unit_id=12552871238201400000,Refunded,999,,Shopping
OD125528373072445000,Boult Audio Loop Wired Headset,https://www.flipkart.com/order_details?order_id=OD125528373072445000&item_id=12552837307244500&unit_id=12552837307244500000,Refunded,329,,Shopping
OD125480645132887000,Wildcraft Daredevil 43 L Laptop Backpack,https://www.flipkart.com/order_details?order_id=OD125480645132887000&item_id=12548064513288700&unit_id=12548064513288700000,Delivered,1219,"Jul 19, 2022",Shopping
OD125479629844154000,boAt Rockerz 255F Pro with Fast Charging...,https://www.flipkart.com/order_details?order_id=OD125479629844154000&item_id=12547962984415400&unit_id=12547962984415400000,Refunded,1199,,Shopping
OD125412062144155000,Lipton Honey Lemon Green Honey Green Tea...,https://www.flipkart.com/order_details?order_id=OD125412062144155000&item_id=12541206214415500&unit_id=12541206214415500000,Delivered,255,"Jul 10, 2022",Shopping
OD125377674513075000,"AllenQueen Women Green, White Dungaree",https://www.flipkart.com/order_details?order_id=OD125377674513075000&item_id=12537767451307500&unit_id=12537767451307500000,Refunded,499,,Shopping
OD125377662731764000,"FurryFlair Women Light Blue, Dark Blue D...",https://www.flipkart.com/order_details?order_id=OD125377662731764000&item_id=12537766273176400&unit_id=12537766273176400000,Refunded,799,,Shopping
OD125375598856443000,Red Bear Refrigerator  Cover,https://www.flipkart.com/order_details?order_id=OD125375598856443000&item_id=12537559885644300&unit_id=12537559885644300000,Delivered,208,"Jul 07, 2022",Shopping
OD125351349722059000,"FurryFlair Women Light Blue, Dark Blue D...",https://www.flipkart.com/order_details?order_id=OD125351349722059000&item_id=12535134972205900&unit_id=12535134972205900000,Refunded,799,,Shopping
OD125351240650132000,"AllenQueen Women Green, White Dungaree",https://www.flipkart.com/order_details?order_id=OD125351240650132000&item_id=12535124065013200&unit_id=12535124065013200000,Refunded,499,,Shopping
OD125351228316878000,tuxup Self Design Women Jumpsuit,https://www.flipkart.com/order_details?order_id=OD125351228316878000&item_id=12535122831687800&unit_id=12535122831687800000,Refunded,499,,Shopping
OD125130310876609000,Fluent FL_11 Titanium Alloy Micro Needle...,https://www.flipkart.com/order_details?order_id=OD125130310876609000&item_id=12513031087660900&unit_id=12513031087660900000,Delivered,199,"Jun 11, 2022",Shopping
OD125130294407903000,BOMBAY SHAVING COMPANY Blackhead Removal...,https://www.flipkart.com/order_details?order_id=OD125130294407903000&item_id=12513029440790300&unit_id=12513029440790300000,Delivered,187,"Jun 07, 2022",Shopping
OD225129018574263000,"AsSkin Poco M2 Pro, poco m2 pro Mobile S...",https://www.flipkart.com/order_details?order_id=OD225129018574263000&item_id=22512901857426300&unit_id=22512901857426300000&share_token=SH22060518450753513886.0633B0CB8CBC8A25D32D82566F32D1D09596FF99,Refunded,199,,Shopping
OD125004568539953000,HANDCUFFS Embroidered CAP Cap,https://www.flipkart.com/order_details?order_id=OD125004568539953000&item_id=12500456853995300&unit_id=12500456853995300000,Cancelled,156,,Shopping
OD124919899065271000,Ruuprekha Striped Tant Pure Cotton Saree,https://www.flipkart.com/order_details?order_id=OD124919899065271000&item_id=12491989906527100&unit_id=12491989906527100000,Delivered,526,"May 18, 2022",Shopping
OD124895806723700000,Bong ButiQ Woven Tangail Pure Cotton Sar...,https://www.flipkart.com/order_details?order_id=OD124895806723700000&item_id=12489580672370000&unit_id=12489580672370000000,Delivered,699,"May 15, 2022",Shopping
OD124876454274877000,Noise Buds VS102 Truly Wireless Bluetoot...,https://www.flipkart.com/order_details?order_id=OD124876454274877000&item_id=12487645427487700&unit_id=12487645427487700000,Delivered,999,"May 09, 2022",Shopping
OD124858739837421000,Noise Buds VS102 Truly Wireless Bluetoot...,https://www.flipkart.com/order_details?order_id=OD124858739837421000&item_id=12485873983742100&unit_id=12485873983742100000&share_token=SH22050512085528923185.FF5D9F961217E0A70EC57754A1C9961B0D1114CC,Refunded,899,,Shopping
OD124833109854973000,Noise Buds VS102 Truly Wireless Bluetoot...,https://www.flipkart.com/order_details?order_id=OD124833109854973000&item_id=12483310985497300&unit_id=12483310985497300000,Refunded,899,,Shopping
OD124828646279700000,Noise Buds VS102 Truly Wireless Bluetoot...,https://www.flipkart.com/order_details?order_id=OD124828646279700000&item_id=12482864627970000&unit_id=12482864627970000000,Cancelled,899,,Shopping
OD124645389103527000,GARNIER Bright Complete Vitamin C Booste...,https://www.flipkart.com/order_details?order_id=OD124645389103527000&item_id=12464538910352700&unit_id=12464538910352700000,Delivered,235,"Apr 14, 2022",Shopping
OD124635720011014000,CHOZI Printed Women Round Neck White T-S...,https://www.flipkart.com/order_details?order_id=OD124635720011014000&item_id=12463572001101400&unit_id=12463572001101400000,Cancelled,239,,Shopping
OD124608730936951000,VEGA Storm Dull Motorbike Helmet,https://www.flipkart.com/order_details?order_id=OD124608730936951000&item_id=12460873093695100&unit_id=12460873093695100000,Delivered,1245,"Apr 10, 2022",Shopping
OD124608633828878000,VEGA Storm Dull Motorbike Helmet,https://www.flipkart.com/order_details?order_id=OD124608633828878000&item_id=12460863382887800&unit_id=12460863382887800000,Refunded,1245,,Shopping
OD124584322220530000,Teeny Step Stylish Trending Shoes Derby ...,https://www.flipkart.com/order_details?order_id=OD124584322220530000&item_id=12458432222053000&unit_id=12458432222053000000,Delivered,449,"Apr 07, 2022",Shopping
OD124567511351010000,Lutton Men's shoes | Formal shoes for me...,https://www.flipkart.com/order_details?order_id=OD124567511351010000&item_id=12456751135101000&unit_id=12456751135101000000,Refunded,499,,Shopping
OD124481431678265000,Bijuka Women Kurta and Pant Set,https://www.flipkart.com/order_details?order_id=OD124481431678265000&item_id=12448143167826500&unit_id=12448143167826500000,Refunded,539,,Shopping
OD124481422935904000,Tap in Women Self Design Straight Kurta,https://www.flipkart.com/order_details?order_id=OD124481422935904000&item_id=12448142293590400&unit_id=12448142293590400000,Delivered,418,"Mar 26, 2022",Shopping
OD124372999431200000,Steelbird SBH-17 Terminator Full Face Gr...,https://www.flipkart.com/order_details?order_id=OD124372999431200000&item_id=12437299943120000&unit_id=12437299943120000000,Refunded,1839,,Shopping
OD124359978587278000,Foxter Solid Men Grey Track Pants,https://www.flipkart.com/order_details?order_id=OD124359978587278000&item_id=12435997858727800&unit_id=12435997858727800000,Refunded,279,,Shopping
OD124358977617572000,VeBNoR Solid Men Grey Track Pants,https://www.flipkart.com/order_details?order_id=OD124358977617572000&item_id=12435897761757200&unit_id=12435897761757200000,Refunded,289,,Shopping
OD124358853003248000,Foxter Solid Men Grey Track Pants,https://www.flipkart.com/order_details?order_id=OD124358853003248000&item_id=12435885300324800&unit_id=12435885300324800000,Refunded,279,,Shopping
OD124358814051500000,Foxter Solid Men Blue Track Pants,https://www.flipkart.com/order_details?order_id=OD124358814051500000&item_id=12435881405150000&unit_id=12435881405150000000,Refunded,279,,Shopping
OD124299904053658000,Kellogg's Klog Corn Flakes 250 gm Box,https://www.flipkart.com/order_details?order_id=OD124299904053658000&item_id=12429990405365800&unit_id=12429990405365800000,Delivered,175,"Mar 05, 2022",Shopping
OD124144636397358000,"AllenQueen Women Blue, White Dungaree",https://www.flipkart.com/order_details?order_id=OD124144636397358000&item_id=12414463639735800&unit_id=12414463639735800000,Delivered,459,"Feb 15, 2022",Shopping
OD124144012683548000,"AllenQueen Women Pink, Black Dungaree",https://www.flipkart.com/order_details?order_id=OD124144012683548000&item_id=12414401268354800&unit_id=12414401268354800000,Refunded,459,,Shopping
OD124132583314085000,LOTUS HERBALS WhiteGlow Skin Whitening &...,https://www.flipkart.com/order_details?order_id=OD124132583314085000&item_id=12413258331408500&unit_id=12413258331408500000,Delivered,292,"Feb 13, 2022",Shopping
OD123936892890509000,DONDA CREATION Embroidered Fashion Art S...,https://www.flipkart.com/order_details?order_id=OD123936892890509000&item_id=12393689289050900&unit_id=12393689289050900000,Refunded,499,,Shopping
OD123875134801658000,Pigeon Favourite Electric Kettle,https://www.flipkart.com/order_details?order_id=OD123875134801658000&item_id=12387513480165800&unit_id=12387513480165800000,Delivered,649,"Jan 13, 2022",Shopping
OD123864018863018000,Pigeon Electric Kettle Hot - 1.5 Liter E...,https://www.flipkart.com/order_details?order_id=OD123864018863018000&item_id=12386401886301800&unit_id=12386401886301800000,Cancelled,714,,Shopping
OD123864008682078000,Pigeon Electric Kettle Hot - 1.5 Liter E...,https://www.flipkart.com/order_details?order_id=OD123864008682078000&item_id=12386400868207800&unit_id=12386400868207800000,Refunded,714,,Shopping
OD123850541582234000,ENVY Black Men Perfume Eau de Parfum  - ...,https://www.flipkart.com/order_details?order_id=OD123850541582234000&item_id=12385054158223400&unit_id=12385054158223400000,Refunded,179,,Shopping
OD123826199875172000,Pigeon Special 3 L Induction Bottom Pres...,https://www.flipkart.com/order_details?order_id=OD123826199875172000&item_id=12382619987517200&unit_id=12382619987517200000,Delivered,771,"Jan 10, 2022",Shopping
OD123826126984359000,Pigeon Special 3 L Induction Bottom Pres...,https://www.flipkart.com/order_details?order_id=OD123826126984359000&item_id=12382612698435900&unit_id=12382612698435900000,Refunded,771,,Shopping
OD123826089773255000,Breil By Fort Collins Full Sleeve Solid ...,https://www.flipkart.com/order_details?order_id=OD123826089773255000&item_id=12382608977325500&unit_id=12382608977325500000,Cancelled,1375,,Shopping
OD123608236815776000,Scyther Back Cover for Realme 5i,https://www.flipkart.com/order_details?order_id=OD123608236815776000&item_id=12360823681577600&unit_id=12360823681577600000,Delivered,179,"Dec 17, 2021",Shopping
OD123596306537841000,"Value Back Cover for Oneplus 7, OnePlus ...",https://www.flipkart.com/order_details?order_id=OD123596306537841000&item_id=12359630653784100&unit_id=12359630653784100000,Delivered,163,"Dec 15, 2021",Shopping
OD123591458613181000,famiss fashion Full Sleeve Graphic Print...,https://www.flipkart.com/order_details?order_id=OD123591458613181000&item_id=12359145861318100&unit_id=12359145861318100000,Delivered,399,"Dec 13, 2021",Shopping
OD123400518875418000,LUXOR Exercise Notebook-Focus B5 Noteboo...,https://www.flipkart.com/order_details?order_id=OD123400518875418000&item_id=12340051887541800&unit_id=12340051887541800000,Delivered,69,"Nov 20, 2021",Shopping
OD123400382532019000,Classmate Notebook Book-size Notebook Si...,https://www.flipkart.com/order_details?order_id=OD123400382532019000&item_id=12340038253201900&unit_id=12340038253201900000,Refunded,57,,Shopping
OD123356726608073000,udachi Slim Fit Men Black Trousers,https://www.flipkart.com/order_details?order_id=OD123356726608073000&item_id=12335672660807300&unit_id=12335672660807300000,Delivered,433,"Nov 16, 2021",Shopping
OD123262488608726000,SPK Handmade Decorative Hanging -Wind Ch...,https://www.flipkart.com/order_details?order_id=OD123262488608726000&item_id=12326248860872600&unit_id=12326248860872600000,Delivered,199,"Nov 06, 2021",Shopping
OD123192989534436000,LOUIS CARON Hi storage printed 30 L Back...,https://www.flipkart.com/order_details?order_id=OD123192989534436000&item_id=12319298953443600&unit_id=12319298953443600000,Cancelled,404,,Shopping
OD123106703133433000,"Divastri Woven Kanjivaram Poly Silk, Art...",https://www.flipkart.com/order_details?order_id=OD123106703133433000&item_id=12310670313343300&unit_id=12310670313343300000,Delivered,647,"Oct 19, 2021",Shopping
OD123073158100004000,Apparel4Foot Flip flops for girls women ...,https://www.flipkart.com/order_details?order_id=OD123073158100004000&item_id=12307315810000400&unit_id=12307315810000400000,Delivered,293,"Oct 14, 2021",Shopping
